item_triple,score
THE,1.0
AND,0.6179085052952058
ING,0.554049168152948
ION,0.5429773475279179
TIO,0.49231771451359224
ENT,0.47278835920808576
ATI,0.41178603288311166
FOR,0.4042514801545497
HER,0.39649093975774385
TER,0.38496829649390946
HAT,0.3715596575372774
THA,0.3686758082526046
ERE,0.3585872841147831
ATE,0.3549133751310134
HIS,0.3407152207445492
CON,0.3406246683894529
RES,0.3282893457155363
VER,0.3264969333176586
ALL,0.3243318191742378
ONS,0.3214163473353031
NCE,0.3157330442910874
MEN,0.31465047878817676
ITH,0.312485330419418
TED,0.30820239559464285
ERS,0.30617600754910135
PRO,0.3042061286369367
THI,0.30221679585281264
WIT,0.300124965054289
ARE,0.29481176797603836
ESS,0.2926206646599581
NOT,0.2903928284207704
IVE,0.28707274203186617
WAS,0.2866923837261491
ECT,0.2844115852025233
REA,0.28394022509400146
COM,0.28134033841799694
EVE,0.277596981505774
PER,0.2768894512033256
INT,0.27510602332723766
EST,0.2703720966869817
STA,0.26798026967779337
CTI,0.2669451388754377
ICA,0.2638431808689629
IST,0.25959408273379014
EAR,0.2559305573939165
AIN,0.25429685860865925
ONE,0.25193895962991986
OUR,0.2513919867272259
ITI,0.25137535566918834
RAT,0.24958216702390618
NTE,0.24908981661864651
TIN,0.2487616269827032
INE,0.2480291934300072
DER,0.24746330565693142
OME,0.24586237692731336
MAN,0.24454348070944643
PRE,0.24440015845134083
ROM,0.24308308039235169
TRA,0.24256312646753497
WHI,0.2411625076443955
AVE,0.2410191688963826
STR,0.23961404899824648
ACT,0.23936149580200003
ILL,0.23932571236830852
URE,0.23779612301838382
IDE,0.23695741003594212
OVE,0.23693572763853807
CAL,0.2368264373989705
BLE,0.235672243312211
OUT,0.23529156125062514
STI,0.23455999270196295
TIC,0.23423277076477206
OUN,0.23408650897184782
ENC,0.23351109530973826
ORE,0.2333002636364793
ANT,0.23200383975065123
ITY,0.23152901535097295
FRO,0.23133387929129184
ART,0.231101677771612
TUR,0.2307780891963114
PAR,0.23000312264642214
RED,0.22939126980653105
OTH,0.22910259685943946
ERI,0.22822865429348574
HIC,0.22768782265673748
IES,0.2273243774007298
STE,0.22688604946978122
GHT,0.22677319116304204
ICH,0.22640502572342452
IGH,0.2256418428411829
UND,0.22524732307121265
YOU,0.22479154103414573
ORT,0.22473466859270627
ERA,0.22286953585324717
WER,0.22247001457418394
NTI,0.22240481391436467
OUL,0.22049292287834596
NDE,0.2197687612011103
IND,0.21970908302035966
THO,0.21969160562826065
HOU,0.21880707565907412
NAL,0.21833266895185707
BUT,0.21700564797763072
HAV,0.21638187930568792
ULD,0.21607460696434724
USE,0.21571105889561065
HAN,0.21529059035867903
HIN,0.21382095265034853
EEN,0.21237874670028872
CES,0.21225371595620351
COU,0.21175798825724618
LAT,0.21165983817284584
TOR,0.21127436167344224
ESE,0.2100940196911802
AGE,0.2099673844618328
AME,0.20942147641855788
RIN,0.20936888276283988
ANC,0.20934179623324842
TEN,0.2088295877404813
HEN,0.2082028805920187
MIN,0.20772369191429205
EAS,0.2064943201022158
CAN,0.20530490043624097
LIT,0.2052823157933599
CHA,0.20505941531911354
OUS,0.2045478563231881
EAT,0.204462553920933
END,0.20280978030841282
SSI,0.20214574803766885
IAL,0.20183948450395875
LES,0.20162162499798442
REN,0.2013831179663661
TIV,0.20102044982158893
NTS,0.2008753913103263
WHE,0.2008753699194128
TAT,0.20075445773618011
ABL,0.20066128785899257
DIS,0.19921213439727967
RAN,0.19859512497190568
WOR,0.19766143742768746
ROU,0.19744980422362307
LIN,0.19718760449093614
HAD,0.19713950942610642
SED,0.1969791091851876
ONT,0.19688674671287226
PLE,0.19687244703514478
UGH,0.19659680740297109
INC,0.19544421527433017
SIO,0.19531540886916296
DIN,0.1952166393022408
RAL,0.1943658954811389
UST,0.19381313330025024
TAN,0.19228822818813057
NAT,0.19223583079504608
INS,0.19209233473408796
ASS,0.19143471111166493
PLA,0.19138872622528944
VEN,0.19138202209631208
ELL,0.19134874492955822
SHE,0.19048161829482327
OSE,0.1904333893718498
ITE,0.19036955892848154
LLY,0.19012106222852207
REC,0.19005771793518564
LAN,0.18926780827365833
ARD,0.18860255987150673
HEY,0.1883846751065298
RIE,0.188292304230827
POS,0.18770088565399937
EME,0.18737946702349353
MOR,0.1870610883164808
DEN,0.18636672359405027
OUG,0.1863078591676184
TTE,0.18605499542220008
NED,0.18550177673978277
RIT,0.1849642235916691
IME,0.18429799915676506
SIN,0.183149060493618
AST,0.1828840287545922
ANY,0.18234301257768137
ORM,0.18227206714404615
NDI,0.18227118007705176
ONA,0.1821759431799058
SPE,0.18203618835529906
ENE,0.18190896312240007
HEI,0.18183047091839374
RIC,0.18162697324904645
ICE,0.18109184662247627
ORD,0.1807704048315929
OMP,0.18061723764237347
NES,0.18059412975156075
SEN,0.1804753921567698
TIM,0.18045644344067666
TRI,0.1802999561303605
ERN,0.18000500167286243
TES,0.17947148228846405
POR,0.17945786631672436
APP,0.17932927453213318
LAR,0.17756925711426522
NTR,0.17745734324125656
EIR,0.17745020277383802
SHO,0.17730673350273254
SON,0.17607303226867546
CAT,0.17592552535325692
LLE,0.17588668284489303
NER,0.1758597396862259
HES,0.17578524870385265
WHO,0.17566915938172584
MAT,0.1755534205346897
ASE,0.17542862749699156
KIN,0.17532027489356625
OST,0.17524904465839253
BER,0.17483845210442078
ITS,0.1748116873302001
NIN,0.17479572500136004
LEA,0.17448162695478467
INA,0.17382534302174654
MPL,0.1737757663818262
STO,0.1737465898423015
ARI,0.17311819643191853
PRI,0.1729500254565389
OWN,0.17294535664811403
ALI,0.17285072690698333
REE,0.1723006837248961
ISH,0.17211016692739356
DES,0.17175356341814088
EAD,0.1715228061154985
NST,0.17128759520822115
SIT,0.17119094304726498
SES,0.1710190443321473
ANS,0.17008439266366523
HAS,0.16972795426423598
GRE,0.1690534617006152
ONG,0.1690417820248566
ALS,0.16899439092373025
FIC,0.16888999619585837
UAL,0.16882380727940224
IEN,0.16877256406480515
GEN,0.1686268145874643
SER,0.16842870786155031
UNT,0.16823611091927532
ECO,0.1681995923477331
NTA,0.16807225875166698
ACE,0.1680405908280795
CHI,0.16792134260494784
FER,0.1679185641067285
TAL,0.16781900129125307
LOW,0.16770380724320127
ACH,0.1675601449925534
